                   MONTHLY CLIMATOLOGICAL SUMMARY for set 2023


NAME: Stazione meteo di Vellai - Feltre                  
ELEV: 315 meters    LAT: 46-02.10 N    LONG: 011-56.55 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   19,4   25,6  16:21   14,4  04:52    0,0    1,0    0,0    0,4   49,5  00:33    135
 02   20,4   27,6  13:42   13,3  06:46    0,0    2,0    0,0    0,4   51,1  05:55    128
 03   21,0   29,6  14:54   15,1  06:41    0,0    2,7    0,0    0,3   49,5  09:53    110
 04   20,9   28,0  13:48   15,2  06:29    0,0    2,5    0,0    0,4   51,1  19:52    101
 05   20,9   26,9  14:26   14,6  23:41    0,0    2,6    0,0    0,5    5,7  01:39    119
 06   18,9   29,3  16:26   11,2  06:43    0,0    0,6    0,0    0,3   51,0  17:18     97
 07   19,3   28,9  14:41   11,8  06:49    0,0    0,9    0,0    0,3   49,5  06:20    103
 08   19,6   29,8  15:35   12,1  06:06    0,0    1,3    0,0    0,3   51,1  23:05     96
 09   19,9   29,5  15:36   12,8  06:38    0,0    1,6    0,0    0,3   49,5  03:49    114
 10   20,2   30,4  15:42   13,0  07:00    0,0    1,9    0,0    0,2   51,1  22:40     95
 11   20,2   31,0  15:48   12,7  06:59    0,0    1,8    0,0    0,3   51,1  22:28    108
 12   20,0   28,7  14:32   13,3  07:00    0,0    1,7    0,0    0,3   49,5  02:48    118
 13   19,2   24,9  16:57   15,6  07:26    0,0    0,9    0,0    0,2   49,5  05:07    120
 14   20,3   28,6  14:49   16,9  07:23    0,0    2,0    0,0    0,3   51,0  09:21    107
 15   19,4   25,3  15:05   15,2  07:04    0,0    1,1    0,0    0,3   49,5  07:02    106
 16   18,9   25,6  14:12   13,2  07:03    0,0    0,6    0,0    0,4   49,5  02:59    147
 17   19,6   26,4  13:21   14,1  06:22    0,0    1,3    0,0    0,4   49,5  05:44    133
 18   19,2   21,9  15:00   16,8  04:03    0,0    0,8    4,1    0,2   49,5  21:39    125
 19   20,5   27,6  14:46   15,9  07:11    0,0    2,1    0,0    0,4    4,6  17:09    147
 20   18,5   25,6  16:30   13,4  06:41    0,0    0,2    2,1    0,3   51,1  04:27    157
 21   17,2   22,1  15:13   13,8  05:49    1,1    0,0    1,0    0,3   49,5  16:32    184
 22   16,6   18,6  15:15   15,1  23:48    1,7    0,0    8,3    0,2    4,8  14:48     94
 23   -0,3   22,3  12:44  -19,8  13:17   18,6    0,0    0,0    0,7   51,1  09:15    241
 24  -19,8  -19,8  01:00  -19,8  00:00   38,1    0,0    0,0    N/A    N/A    N/A     90
 25  -19,8  -19,8  01:00  -19,8  00:00   38,1    0,0    0,0    N/A    N/A    N/A     90
 26   -3,0   26,3  15:43  -19,8  00:00   21,3    0,0    0,0    0,2    4,3  18:11    101
 27   17,0   27,1  15:31   10,7  06:41    1,3    0,0    0,0    0,2   49,5  07:36    115
 28   16,2   26,8  16:57    9,1  06:59    2,2    0,0    0,0    0,2   51,1  22:11     98
 29   16,6   26,3  15:23    9,8  06:31    1,8    0,0    0,0    0,2    2,8  13:19     97
 30   17,3   27,1  15:58   11,2  07:26    1,0    0,0    0,0    0,2   51,1  22:47    100
---------------------------------------------------------------------------------------
      15,1   31,0     11  -19,8     23  125,3   29,6   15,5    0,3   51,1     02    119
    

