                   MONTHLY CLIMATOLOGICAL SUMMARY for nov 2023


NAME: Stazione meteo di Vellai - Feltre                  
ELEV: 315 meters    LAT: 46-02.10 N    LONG: 011-56.55 E


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7,2   11,6  13:59  -30,0  07:22   11,1    0,0    0,0    0,2   51,0  10:12     86
 02    8,8   11,9  19:50    6,4  00:03    9,5    0,0   21,8    0,4   10,0  19:49    180
 03    8,7   11,6  01:12    3,5  23:17    9,6    0,0    8,3    0,6   51,1  22:26    215
 04    6,8   11,3  14:47    3,4  06:48   11,5    0,0    8,8    0,5   51,1  00:09    188
 05    7,8   13,9  15:06    4,7  07:47   10,5    0,0    8,8    0,6   51,1  22:10    181
 06    9,3   15,5  14:34    5,9  00:03    9,1    0,0    1,0    0,5   51,0  17:54    235
 07    8,1   12,3  12:48    3,3  23:45   10,2    0,0    1,0    0,4   51,1  10:14     53
 08    4,7   11,2  15:14    1,6  06:57   13,6    0,0    0,0    0,3   51,1  11:08    101
 09    4,1    8,9  14:07   -0,1  03:34   14,2    0,0    2,1    0,2   51,1  01:11     68
 10    7,3   11,7  14:45    5,6  06:46   11,0    0,0    1,0    0,3   51,1  10:56    154
 11    5,1   11,8  14:17    0,6  23:49   13,3    0,0    0,0    0,4   51,1  04:34    345
 12    2,5   10,1  14:36   -1,6  03:51   15,8    0,0    0,0    0,3   51,1  08:16    109
 13    3,2   10,6  13:44   -1,9  07:34   15,1    0,0    0,0    0,3   51,1  08:44    118
 14    4,6   12,3  15:22   -0,7  05:56   13,7    0,0    0,0    0,4   51,1  02:15    322
 15    6,0   14,9  15:34    1,1  07:56   12,3    0,0    0,0    0,4   51,1  03:18     75
 16    3,5    8,7  14:26   -0,6  07:54   14,8    0,0    0,0    0,1   51,1  06:45     77
 17   -9,7    7,3  11:11  -19,7  13:00   28,0    0,0    0,0    0,4   51,1  02:32    130
 18  -19,7  -19,7  00:01  -19,7  06:00   38,0    0,0    0,0    N/A    N/A    N/A     90
 19  -19,7  -19,7  00:00  -19,7  06:00   38,0    0,0    0,0    N/A    N/A    N/A     90
 20  -19,7  -19,7  00:01  -19,7  08:00   38,0    0,0    0,0    N/A    N/A    N/A     90
 21  -19,7  -19,7  00:03  -19,7  03:00   38,0    0,0    0,0    N/A    N/A    N/A     90
 22  -19,7  -19,7  00:01  -19,7  07:00   38,0    0,0    0,0    N/A    N/A    N/A     90
 23  -19,7  -19,7  00:01  -19,7  07:00   38,0    0,0    0,0    N/A    N/A    N/A     90
 24  -19,7  -19,7  00:01  -19,7  06:00   38,0    0,0    0,0    N/A    N/A    N/A     90
 25  -14,4    6,0  18:30  -19,7  06:00   32,8    0,0    0,0    1,5   50,3  19:35    291
 26   -0,0    8,9  14:57   -5,6  07:19   18,4    0,0    0,0    0,5   50,3  23:31     71
 27   -0,4    4,3  14:06   -5,5  05:25   18,8    0,0    0,0    0,2   50,3  17:23     59
 28    1,3    7,8  14:31   -2,5  23:30   17,0    0,0    0,0    0,7   51,1  00:04    351
 29   -0,1    7,2  15:30   -5,9  08:05   18,4    0,0    0,0    0,5   51,1  09:16    349
 30    0,3    1,1  00:50   -0,1  08:00   18,0    0,0    1,0    0,1   51,1  07:18    341
---------------------------------------------------------------------------------------
      -2,1   15,5     06  -30,0     01  613,1    0,0   53,9    0,4   51,1     03     59
    

